ELEMENTO		Valor		Fecha de Recoleccion	
PLA_A02			23		18/07/2004 14:00
PLA_A02			23		18/07/2004 15:00
PLA_A02			23		18/07/2004 16:00
PLA_A02			24		18/07/2004 17:00
PLA_A02			24		18/07/2004 18:00
PLA_A02			24		18/07/2004 19:00
PLA_A02			25		18/07/2004 20:00
PLA_A02			26		18/07/2004 21:00
PLA_A02			26		18/07/2004 22:00
PLA_A02			25		18/07/2004 23:00
PLA_A02			24		19/07/2004 00:00
PLA_A02			24		19/07/2004 01:00
PLA_A02			24		19/07/2004 02:00
PLA_A02			23		19/07/2004 03:00
PLA_A02			23		19/07/2004 04:00
PLA_A02			23		19/07/2004 05:00
PLA_A02			22		19/07/2004 06:00
PLA_A02			23		19/07/2004 07:00
PLA_A02			25		19/07/2004 08:00
PLA_A02			36		19/07/2004 09:00
PLA_A02			44		19/07/2004 10:00
PLA_A02			58		19/07/2004 11:00
PLA_A02			61		19/07/2004 12:00
PLA_A02			59		19/07/2004 13:00
PLA_A02			54		19/07/2004 14:00
PLA_A02			48		19/07/2004 15:00
PLA_A02			42		19/07/2004 16:00
PLA_A02			39		19/07/2004 17:00
PLA_A02			34		19/07/2004 18:00
PLA_A02			32		19/07/2004 19:00
PLA_A02			32		19/07/2004 20:00
PLA_A02			31		19/07/2004 21:00
PLA_A02			29		19/07/2004 22:00
PLA_A02			28		19/07/2004 23:00
PLA_A02			27		20/07/2004 00:00
PLA_A02			28		20/07/2004 01:00
PLA_A02			28		20/07/2004 02:00
PLA_A02			27		20/07/2004 03:00
PLA_A02			25		20/07/2004 04:00
PLA_A02			24		20/07/2004 05:00
PLA_A02			25		20/07/2004 06:00
PLA_A02			26		20/07/2004 07:00
PLA_A02			30		20/07/2004 08:00
PLA_A02			40		20/07/2004 09:00
PLA_A02			44		20/07/2004 10:00
PLA_A02			47		20/07/2004 11:00
PLA_A02			48		20/07/2004 12:00
PLA_A02			47		20/07/2004 13:00
PLA_A02			47		20/07/2004 14:00
PLA_A02			48		20/07/2004 15:00
PLA_A02			47		20/07/2004 16:00
PLA_A02			41		20/07/2004 17:00
PLA_A02			37		20/07/2004 18:00
PLA_A02			36		20/07/2004 19:00
PLA_A02			35		20/07/2004 20:00
PLA_A02			34		20/07/2004 21:00
PLA_A02			32		20/07/2004 22:00
PLA_A02			30		20/07/2004 23:00
PLA_A02			29		21/07/2004 00:00
PLA_A02			26		22/07/2004 01:00
PLA_A02			38		22/07/2004 09:00
PLA_A02			43		22/07/2004 10:00
PLA_A02			46		22/07/2004 11:00
PLA_A02			47		22/07/2004 12:00
PLA_A02			47		22/07/2004 14:00
PLA_A02			48		22/07/2004 15:00
PLA_A02			46		22/07/2004 16:00
PLA_A02			41		22/07/2004 17:00
PLA_A02			37		22/07/2004 18:00
PLA_A02			34		22/07/2004 19:00
PLA_A02			31		22/07/2004 20:00
PLA_A02			29		22/07/2004 21:00
PLA_A02			28		22/07/2004 22:00
PLA_A02			28		22/07/2004 23:00
PLA_A02			28		23/07/2004 00:00
PLA_A02			27		23/07/2004 01:00
PLA_A02			27		23/07/2004 02:00
PLA_A02			27		23/07/2004 03:00
PLA_A02			26		23/07/2004 04:00
PLA_A02			25		23/07/2004 05:00
PLA_A02			23		23/07/2004 06:00
PLA_A02			24		23/07/2004 07:00
PLA_A02			29		23/07/2004 08:00
PLA_A02			36		23/07/2004 09:00
PLA_A02			40		23/07/2004 10:00
PLA_A02			41		23/07/2004 11:00
PLA_A02			42		23/07/2004 12:00
PLA_A02			43		23/07/2004 13:00
PLA_A02			43		23/07/2004 14:00
PLA_A02			44		23/07/2004 15:00
PLA_A02			41		23/07/2004 16:00
PLA_A02			34		23/07/2004 17:00
PLA_A02			30		23/07/2004 18:00
PLA_A02			28		23/07/2004 19:00
PLA_A02			28		23/07/2004 20:00
PLA_A02			26		23/07/2004 21:00
PLA_A02			25		23/07/2004 22:00
PLA_A02			25		23/07/2004 23:00
PLA_A02			24		24/07/2004 00:00
PLA_A02			24		24/07/2004 01:00
PLA_A02			23		24/07/2004 02:00
PLA_A02			23		24/07/2004 03:00
PLA_A02			23		24/07/2004 04:00
PLA_A02			23		24/07/2004 05:00
PLA_A02			23		24/07/2004 06:00
PLA_A02			23		24/07/2004 07:00
PLA_A02			24		24/07/2004 08:00
PLA_A02			26		24/07/2004 09:00
PLA_A02			27		24/07/2004 10:00
PLA_A02			27		24/07/2004 11:00
PLA_A02			28		24/07/2004 12:00
PLA_A02			28		24/07/2004 13:00
PLA_A02			29		24/07/2004 14:00
PLA_A02			27		24/07/2004 15:00
PLA_A02			27		24/07/2004 16:00
PLA_A02			28		24/07/2004 17:00
PLA_A02			28		24/07/2004 18:00
PLA_A02			26		24/07/2004 19:00
PLA_A02			26		24/07/2004 20:00
PLA_A02			26		24/07/2004 21:00
PLA_A02			25		24/07/2004 22:00
PLA_A02			24		24/07/2004 23:00
PLA_A02			25		25/07/2004 00:00
PLA_A02			25		25/07/2004 01:00
PLA_A02			24		25/07/2004 02:00
PLA_A02			24		25/07/2004 03:00
PLA_A02			24		25/07/2004 04:00
PLA_A02			24		25/07/2004 05:00
PLA_A02			24		25/07/2004 06:00
PLA_A02			24		25/07/2004 07:00
PLA_A02			24		25/07/2004 08:00
PLA_A02			24		25/07/2004 09:00
PLA_A02			24		25/07/2004 10:00
PLA_A02			25		25/07/2004 11:00
PLA_A02			26		25/07/2004 12:00
PLA_A02			25		25/07/2004 13:00
PLA_A02			26		25/07/2004 14:00
PLA_A02			26		25/07/2004 15:00
PLA_A02			26		25/07/2004 16:00
PLA_A02			26		25/07/2004 17:00
PLA_A02			26		25/07/2004 18:00
PLA_A02			27		25/07/2004 19:00
PLA_A02			27		25/07/2004 20:00
PLA_A02			26		25/07/2004 21:00
PLA_A02			26		25/07/2004 22:00
PLA_A02			25		25/07/2004 23:00
PLA_A02			25		26/07/2004 00:00
PLA_A02			24		26/07/2004 01:00
PLA_A02			23		26/07/2004 02:00
PLA_A02			24		26/07/2004 03:00
PLA_A02			23		26/07/2004 04:00
PLA_A02			23		26/07/2004 05:00
PLA_A02			24		26/07/2004 06:00
PLA_A02			24		26/07/2004 07:00
PLA_A02			26		26/07/2004 08:00
PLA_A02			35		26/07/2004 09:00
PLA_A02			41		26/07/2004 10:00
PLA_A02			28		27/07/2004 07:00
PLA_A02			32		27/07/2004 08:00
PLA_A02			38		27/07/2004 09:00
PLA_A02			44		27/07/2004 10:00
PLA_A02			46		27/07/2004 11:00
PLA_A02			47		27/07/2004 12:00
PLA_A02			44		27/07/2004 13:00
PLA_A02			44		27/07/2004 14:00
PLA_A02			44		27/07/2004 15:00
PLA_A02			42		27/07/2004 16:00
PLA_A02			38		27/07/2004 17:00
PLA_A02			35		27/07/2004 18:00
PLA_A02			33		27/07/2004 19:00
PLA_A02			31		27/07/2004 20:00
PLA_A02			30		27/07/2004 21:00
PLA_A02			30		27/07/2004 22:00
PLA_A02			29		27/07/2004 23:00
PLA_A02			29		28/07/2004 00:00
PLA_A02			29		28/07/2004 01:00
PLA_A02			28		28/07/2004 02:00
PLA_A02			28		28/07/2004 03:00
PLA_A02			26		28/07/2004 04:00
PLA_A02			26		28/07/2004 05:00
PLA_A02			25		28/07/2004 06:00
PLA_A02			27		28/07/2004 07:00
